判決字號,處罰方式,侮辱字詞,加重事由-累犯,減輕事由,行為人是否於緩刑中或假釋中再犯,行為人有無「公然侮辱」之前案紀錄,行為人有「公然侮辱」外之任何前案紀錄？,是否坦承,犯後態度
112年度中簡字第2601號,拘役40日,『有病』、『白癡』等語,無,無,否,無,無,否認,未敘明
112年度簡字第958號,新臺幣5000元,「幹你娘機掰」,無,無,否,無,無,坦承,尚可
112年度簡字第1394號,新臺幣8000元,「惡質噁心」、「毒瘤」、「人面獸心，衣冠禽獸」,無,無,否,無,無,坦承,未敘明
112年度簡字第1704號,新臺幣3000元,「垃圾人(台語)」,無,無,否,無,無,否認,未敘明
112年度簡字第1624號,新臺幣7000元,「欠債不還 喪盡天良」,無,無,否,無,無,坦承,未敘明
112年度原簡字第57號,新臺幣3000元,「廢物」等語、手比倒讚,無,無,否,無,無,坦承,尚可
112年度中簡字第1912號,拘役10日,「畜生」「豬狗不如」「踩不死的蟑螂」「不要臉」「狗子」之不堪言語,無,無,否,無,無,坦承,尚可
112年度易字第2067號,拘役20日,「畜生」、「幹你娘」、「啥洨」、「龜兒子」、「抓耙仔」等語,無,無,否,無,無,否認,未敘明
112年度簡字第1489號,拘役20日,「幹你娘死全家」,無,無,否,無,無,坦承,未敘明
112年度易字第1719號,新臺幣4000元,「沒看過這種壞女人(臺語)」、「你這款咖小就是這樣(臺語)」等語,無,無,否,無,無,坦承,未敘明
112年度中簡字第2209號,拘役20日,『你是d能吧?...哪來的87聽不懂人話，可憐』『...可憐人話都聽不懂，不是d能你告訴我是甚麼?被罵活該，快點去，不去就是出生...』等語,無,無,否,無,無,坦承,不佳
112年度訴字第1496號,拘役10日,「肖查某」、「肖查某係咧看三小，你是愛到我喔」、「幹你娘，你是在看三小，沒有看過歐」等語,無,無,否,無,無,坦承,未敘明
112年度易字第1476號,無罪,「你有吃搖頭丸嗎?」等語,無,無,否,無,無,否認,未敘明
112年度易字第280號,新臺幣2000元,「渣男」等語,無,無,否,無,無,坦承,尚可
111年度虎簡字第219號,新臺幣6000元,「討客兄」,無,無,否,無,無,坦承,未敘明
111年度易字第401號,拘役10日,『沒有這一種背骨的親戚』、『第一次遇到這一種可怕的東西』、『沒見過這麼不要臉的人』等訊息,無,無,否,無,無,坦承,良好
112年度訴字第123號,新臺幣4000元,「你有11個老爸」以此影射告訴人係雜種,無,無,否,無,無,坦承,尚可
111年度易字第150號,拘役30日,「老豬哥」(臺語)等語,無,無,否,無,有,否認,不佳
112年度易字第340號,拘役5日,於告訴人住處門口潑灑廚餘,無,有,否,無,無,坦承,尚可
112年度虎簡字第95號,新臺幣3000元,「你係小白臉」,無,無,否,無,無,坦承,未敘明
112年度港簡字第40號,新臺幣3000元,「龜小孩」、「你在譙三小」、「譙三小」、「你本來就是龜兒子」,無,無,否,無,無,坦承,未敘明
112年度易字第377號,新臺幣5000元,『講殺小』、『你白癡嗎?聽不懂人話』、『智障』等文字,無,無,否,無,無,坦承,尚可
112年度簡字第57號,新臺幣4000元,『你不要馬後炮，你大尾來吧，我等你、幹你娘』等,無,無,否,無,無,坦承,未敘明
112年度簡字第250號,拘役10日,持洗碗水朝告訴人之臉部及頭部潑灑1次,無,無,否,無,無,坦承,尚可
112年度港簡字第40號,新臺幣3000元,「幹破你娘機歪的」、「幹你娘」、「你娘的」、「躲在樓上就像個龜兒子一樣」、「你本來就是龜兒子!你就是龜兒子躲在樓上不下來」,無,無,否,無,無,坦承,未敘明
112年度訴字第192號,拘役10日,「王家怎麼會出你這種敗家子」、「現在白吃白喝的小孩太多了」、「垃圾」等語,無,無,否,無,無,坦承,尚可
112年度投簡字第429號,新臺幣9000元,「垃圾」、「世間的垃圾」、「不要臉」、「神經病」等語,無,無,否,無,無,坦承,未敘明
112年度投簡字第408號,新臺幣8000元,「恁母生你這個龜兒子」、「幹你娘」等語,無,無,否,無,無,坦承,未敘明
112年度投簡字第195號,拘役20日,「雞掰」、「臭雞掰」、「幹你娘你家的事」等語,無,無,否,無,無,坦承,未敘明
112年度易字第359號,拘役25日,「你就像懶覺，你這款喔，如果沒辦法我再跟你同姓」、「我懶覺給你咬」、「幹你娘老機掰勒」等語，復對告訴人丟擲筍乾,無,無,否,無,無,否認,不佳
113年度簡字第195號 ,新臺幣5000元,「幹你娘機掰」、「破麻」,無,無,否,無,無,未敘明,未敘明
112年度易字第1039號,無罪,「在辦喪事」、「沒家教」,無,無,否,無,無,否認,未敘明
113年度簡字第23號,拘役15日,潑水,無,無,否,無,有,坦承,未敘明
112年度簡字第4327號,新臺幣2000元,「草支擺」、「幹你娘」,無,無,否,無,無,坦承,未敘明
112年度易字第1750號,新臺幣2000元,「龜仔兒」、「你穿裙子的」、「你就是這樣才娶不到老婆」,無,無,否,無,無,先否認後坦承,尚可
112年度簡字第4056號,新臺幣6000元,「白痴」,無,無,否,無,有,否認,未敘明
112年度簡字第4231號,新臺幣1000元,「幹您娘操機掰」,無,無,否,無,無,坦承,未敘明
112年度易字第317號,新臺幣5000元,「幹」、「幹」、「幹」、「幹」,無,無,否,無,有,否認,未敘明
112年度簡字第3715號,新臺幣5000元,「變態」、「幹你娘」,無,無,否,無,無,坦承,未敘明
112年度簡字第3856號,拘役20日,「幹你老爸」、「操雞巴」,無,無,否,無,無,坦承,未敘明
112年度易字第1243號,新臺幣6000元,「幹你娘雞掰」,無,無,否,無,無,否認,無悔意
112年度易字第1573號,拘役30日,「畜生」、「畜生」、「畜生」,無,無,否,無,無,否認,未敘明
112年度簡字第3882號,新臺幣6000元,「妳娘」、「垃圾」,無,無,否,無,無,坦承,未敘明
112年度簡字第3857號,新臺幣1000元,「智障」,無,無,否,無,無,坦承,未敘明
112年度簡字第3884號,新臺幣5000元,「畜生」、「幹你娘」、「狗仔子」、「雜種仔」、「幹你娘臭機掰」、「幹你祖公」,無,無,否,有,無,坦承,未敘明
112年度簡字第3884號,新臺幣2000元,「雜種」,無,無,否,無,無,坦承,未敘明
